"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 04 11:11:38 UTC 2025","Fri Jul 04 11:12:08 UTC 2025","30212","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Admin can change User role to Admin","
Invite member with User role.
Verify that:
    - Admin can change user role from User to Admin
    - User after changing role from User to Admin:
        - Can access organization Settings
        - Can access organization Billing
"
"passed","Fri Jul 04 11:25:00 UTC 2025","Fri Jul 04 11:25:41 UTC 2025","41308","UI Tests","UI Organization Remove Members","TestUIOrganizationRemoveMembers","","","Verify Admin can remove another Admin from organization","
Invite member with Admin role.
Verify that:
    - Admin can remove Admin from organization
"
"passed","Fri Jul 04 11:22:55 UTC 2025","Fri Jul 04 11:23:26 UTC 2025","30776","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Manager cannot demote himself to User","
Invite member with Manager role.
Verify that:
    - Manager cannot demote himself to User
"
"passed","Fri Jul 04 11:13:10 UTC 2025","Fri Jul 04 11:13:40 UTC 2025","30945","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Admin can change Manager role to Admin","
Invite member with Manager role.
Verify that:
    - Admin can change user role from Manager to Admin
    - User after changing role from Manager to Admin:
        - Can access organization Settings
        - Can access organization Billing
"
"passed","Fri Jul 04 11:39:22 UTC 2025","Fri Jul 04 11:39:35 UTC 2025","12399","UI Tests","UI Signup","TestUISignup","","","New user successful signup",""
"passed","Fri Jul 04 11:11:02 UTC 2025","Fri Jul 04 11:11:33 UTC 2025","31879","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Admin can change User role to Manager","
Invite member with User role.
Verify that:
    - Admin can change user role from User to Manager
    - User after changing role from User to Manager:
        - Can access organization Settings
        - Can access organization Billing
"
"failed","Fri Jul 04 11:35:01 UTC 2025","Fri Jul 04 11:35:16 UTC 2025","14682","UI Tests","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite user with organization to organization via UI",""
"passed","Fri Jul 04 11:18:48 UTC 2025","Fri Jul 04 11:20:01 UTC 2025","72624","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Manager can change Manager role to User","
Invite member1 with Manager role. Invite member2 with Manager role.
Verify that:
    - Manager can change user role from Manager to User
    - User after changing role from User to Manager:
        - Cannot access organization Settings
        - Cannot access organization Billing
"
"passed","Fri Jul 04 11:32:49 UTC 2025","Fri Jul 04 11:33:19 UTC 2025","29911","UI Tests","UI Organization Roles Access","TestUIOrganizationRolesAccess","","","Verify invited Admin can access organization billing","
Invite member with Admin role.
Verify that user:
    - Can access organization Billing
"
"passed","Fri Jul 04 11:23:30 UTC 2025","Fri Jul 04 11:24:11 UTC 2025","40240","UI Tests","UI Organization Remove Members","TestUIOrganizationRemoveMembers","","","Verify Admin can remove User from organization","
Invite member with User role.
Verify that:
    - Admin can remove User from organization
"
